,Min,nb_ecole_1kms,nb_ecole_3kms,nb_ecole_5kms,nb_ecole_10kms,nb_ecole_20kms
14857,0.5928195956183969,2,3,10,52,222
14858,0.206593020197591,1,2,3,31,235
14859,0.1974191098716212,6,7,13,38,189
14860,0.7753431698864616,2,2,15,24,75
14861,0.1890223493794473,29,290,789,2613,5537
14862,0.2514334787113965,11,18,24,39,106
14863,0.2408472393628279,41,363,820,2816,5522
14864,0.1502115182888748,13,64,78,127,207
14865,0.3164145031349817,8,26,62,178,1001
14866,0.2271158537330647,12,22,35,62,207
14867,1.0139034369915332,0,3,4,30,354
14868,1.5392214597006608,0,10,11,29,107
14869,0.0876308456995251,46,379,1043,2792,5759
14870,0.6283624002597268,16,128,417,1636,4740
14871,0.0180998961162401,17,55,88,189,339
14872,0.9200702027969734,1,1,9,32,186
14873,0.0117609750941675,1,2,2,75,151
14874,0.907957091210958,2,32,84,219,440
14875,0.39305080026191,3,5,11,23,84
14876,0.4358144756116976,2,6,12,40,293
14877,0.1034520970062811,15,107,169,206,259
14878,0.4246447656771571,10,104,274,1331,4836
