,latitude,longitude,Geo Point
2256,46.788316,-1.4346673,"46.788316,-1.4346673"
2257,46.4190206,0.042169,"46.4190206,0.042169"
2258,45.9433989,-0.8978981,"45.9433989,-0.8978981"
2259,46.0783303,-1.0908909,"46.0783303,-1.0908909"
2260,47.4056382,-0.9210198,"47.4056382,-0.9210198"
2261,47.065698,-0.869583,"47.065698,-0.869583"
2262,47.464647,-0.55682,"47.464647,-0.55682"
2263,47.435399,-2.088201,"47.435399,-2.088201"
2264,47.2220412,-1.7235014,"47.2220412,-1.7235014"
2265,47.28869,-2.389102,"47.28869,-2.389102"
2266,47.5546432,-1.5244159,"47.5546432,-1.5244159"
2267,47.086142,-1.286172,"47.086142,-1.286172"
2268,47.1861428,-1.4780052,"47.1861428,-1.4780052"
2269,47.1145616,-2.0975565,"47.1145616,-2.0975565"
2270,47.0618983,-2.0009628,"47.0618983,-2.0009628"
2271,47.1164915,-1.7393069,"47.1164915,-1.7393069"
2272,47.3433655,-1.291992,"47.3433655,-1.291992"
2273,47.2930211,-1.3893042,"47.2930211,-1.3893042"
2274,48.1135968,-1.0252972,"48.1135968,-1.0252972"
2275,48.1106724,-0.9740682,"48.1106724,-0.9740682"
2276,48.5527286,-1.5049307,"48.5527286,-1.5049307"
2277,48.4960574,-2.1414331,"48.4960574,-2.1414331"
2278,48.456764,-2.053542,"48.456764,-2.053542"
2279,48.5315134,-1.914787,"48.5315134,-1.914787"
2280,47.6756185,-2.2961796,"47.6756185,-2.2961796"
2281,47.4852978,-3.1181869,"47.4852978,-3.1181869"
2282,47.5210574,-3.138905,"47.5210574,-3.138905"
2283,47.5580254,-3.1330754,"47.5580254,-3.1330754"
2284,47.6042943,-3.1184482,"47.6042943,-3.1184482"
2285,47.869375,-3.552693,"47.869375,-3.552693"
2286,47.8029905,-3.4431341,"47.8029905,-3.4431341"
2287,47.5755984,-3.1324467,"47.5755984,-3.1324467"
2288,47.755597,-3.366221,"47.755597,-3.366221"
2289,48.4096627,-4.3882136,"48.4096627,-4.3882136"
2290,48.38811,-4.478903,"48.38811,-4.478903"
2291,48.4262577,-3.3828609,"48.4262577,-3.3828609"
2292,48.3405242,-3.4908822,"48.3405242,-3.4908822"
2293,48.4062201,-3.419782,"48.4062201,-3.419782"
2294,48.5074512,-3.2435052,"48.5074512,-3.2435052"
2295,48.727638,-3.460353,"48.727638,-3.460353"
2296,48.6062816,-3.4668231,"48.6062816,-3.4668231"
2297,48.5935901,-3.3228532,"48.5935901,-3.3228532"
2298,47.7434965,7.3170514,"47.7434965,7.3170514"
2299,48.1187915,-1.5277646,"48.1187915,-1.5277646"
2300,48.106361,-1.405159,"48.106361,-1.405159"
2301,47.9851669,-1.5754724,"47.9851669,-1.5754724"
2302,47.6745316,-1.9144441,"47.6745316,-1.9144441"
2303,47.82225,-1.81822,"47.82225,-1.81822"
2304,48.1405713,-1.8972095,"48.1405713,-1.8972095"
2305,48.123142,-1.8192987,"48.123142,-1.8192987"
2306,48.0670983,-1.7142367,"48.0670983,-1.7142367"
2307,48.0469707,-1.5966524,"48.0469707,-1.5966524"
2308,48.838456,-1.587757,"48.838456,-1.587757"
2309,48.7172632,0.4281082,"48.7172632,0.4281082"
2310,49.2864776,-0.1074996,"49.2864776,-0.1074996"
2311,49.3000711,-0.0772276,"49.3000711,-0.0772276"
2312,49.0231057,-0.0405855,"49.0231057,-0.0405855"
2313,49.071,-0.07496,"49.071,-0.07496"
2314,49.1111851,-0.1864355,"49.1111851,-0.1864355"
2315,49.038788,1.582205,"49.038788,1.582205"
2316,48.997287,1.63009,"48.997287,1.63009"
2317,49.275437,1.224147,"49.275437,1.224147"
2318,49.2339135,1.2248947,"49.2339135,1.2248947"
2319,49.174626,1.352461,"49.174626,1.352461"
2320,49.1964187,0.7115304,"49.1964187,0.7115304"
2321,49.921788,1.081133,"49.921788,1.081133"
2322,49.5269596,0.1861468,"49.5269596,0.1861468"
2323,49.622035,0.750115,"49.622035,0.750115"
2324,49.5835958,0.3541609,"49.5835958,0.3541609"
2325,49.5285649,0.2522963,"49.5285649,0.2522963"
2326,49.4704151,1.1615438,"49.4704151,1.1615438"
2327,49.5133331,1.0395776,"49.5133331,1.0395776"
2328,49.34306,1.101799,"49.34306,1.101799"
2329,45.7680954,3.0909704,"45.7680954,3.0909704"
2330,47.8415934,-0.3419359,"47.8415934,-0.3419359"
2331,47.8919891,0.0266367,"47.8919891,0.0266367"
2332,48.0735,0.48687,"48.0735,0.48687"
2333,48.0197118,0.3352253,"48.0197118,0.3352253"
2334,48.2157588,1.1606705,"48.2157588,1.1606705"
2335,48.4326737,0.8923825,"48.4326737,0.8923825"
2336,48.4737398,1.0109416,"48.4737398,1.0109416"
2337,48.78657,2.04523,"48.78657,2.04523"
2338,48.7399008,2.2313626,"48.7399008,2.2313626"
2339,48.7684736,1.513444,"48.7684736,1.513444"
2340,48.8074032,2.0404603,"48.8074032,2.0404603"
2341,48.6259183,1.7718857,"48.6259183,1.7718857"
2342,48.64377,1.83154,"48.64377,1.83154"
2343,48.6933406,1.856057,"48.6933406,1.856057"
2344,48.7217171,1.8904047,"48.7217171,1.8904047"
2345,48.7556954,1.943674,"48.7556954,1.943674"
2346,48.800517,2.1711466,"48.800517,2.1711466"
2347,48.7998005,2.1845267,"48.7998005,2.1845267"
2348,48.8214311,2.2147536,"48.8214311,2.2147536"
2349,48.8462046,2.2768401,"48.8462046,2.2768401"
2350,48.8551134,2.2892141,"48.8551134,2.2892141"
2351,48.8625705,2.3010287,"48.8625705,2.3010287"
2352,48.8619133,2.3150151,"48.8619133,2.3150151"
2353,48.7958264,2.1358827,"48.7958264,2.1358827"
2355,48.8713084,2.0965436,"48.8713084,2.0965436"
2356,48.8542135,2.1323749,"48.8542135,2.1323749"
2357,48.84259,2.13797,"48.84259,2.13797"
2358,48.89308,2.23763,"48.89308,2.23763"
2359,49.03639,2.07982,"49.03639,2.07982"
2360,48.94686,2.25727,"48.94686,2.25727"
2361,48.98318,1.8089,"48.98318,1.8089"
2362,49.03997,2.10369,"49.03997,2.10369"
2363,49.3572878,1.7639818,"49.3572878,1.7639818"
2364,49.26139,1.87274,"49.26139,1.87274"
2365,49.12416,1.94893,"49.12416,1.94893"
2366,49.0805828,2.0034959,"49.0805828,2.0034959"
2367,49.06283,2.05771,"49.06283,2.05771"
2368,48.870971,2.2756167,"48.870971,2.2756167"
2369,48.89494,2.0705,"48.89494,2.0705"
2370,43.5997881,1.3718548,"43.5997881,1.3718548"
2371,50.0674506,3.4562554,"50.0674506,3.4562554"
2372,50.1918249,3.2754949,"50.1918249,3.2754949"
2373,50.2685315,3.158706,"50.2685315,3.158706"
2374,50.51168,2.9054,"50.51168,2.9054"
2375,50.4401891,2.8592403,"50.4401891,2.8592403"
2376,50.41706,2.95211,"50.41706,2.95211"
2377,50.3428545,3.0405375,"50.3428545,3.0405375"
